Box,Id,Type,Title,Author,Author2,Date,Location,Nb,People,Geo
4,315,Letters,Carta del 10 de septiembre de 1860 de Vicente Pérez Rosales a su amigo Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/09/10,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,316,Letters,Carta del 10 de septiembre de 1860 de Cornelio Saavedra a su amigo Mauricio Barbosa,"Saavedra, Cornelio",,1860/09/10,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
4,317,Letters,Carta del 10 de septiembre de 1860 de Juan Guenuman al Coronel,"Guenuman, Juan",,1860/09/10,Chile;Novena Región;Temuco,1,,
4,318,Notes,Nota de Juan de Dios López al Coronel del Ejércitor Pacificador,"López, Juan De Dios",,1860/09/11,Chile;Octava Región;Cupaño,1,,Arauco
4,319,Notes,Nota Nº 120 de José Antonio Quezada a. Coronel y Comandante de Armas del Departamento de Arauco,"Quezada, José Antonio",,1860/09/13,Chile;Octava Región;Arauco,1,,Arauco
4,320,Notes,Nota de José María Zúñiga al Coronel y Comandante de Armas de la plaza de Arauco,"Zúñiga, José María",,1860/09/17,Chile;Octava Región;Arauco,1,,Arauco
4,321,Notes,Nota de Juan de Dios López al Coronel del Ejércitor Pacificador,"López, Juan De Dios",,1860/09/24,Chile;Octava Región;Cupaño,1,,Arauco
4,322,Letters,Carta del 25 de septiembre de 1860 de Manuel García a Mauricio Barbosa,"García, Manuel",,1860/09/25,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",
4,323,Letters,Carta del 26 de septiembre de 1860 de Vicente Pérez Rosales a su amigo Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/09/26,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,324,Notes,Nota Nº 152 de Toribio Fernández al Comandante de Armas de Arauco,"Fernández, Toribio",,1860/09/26,Chile;Octava Región;Ángeles,1,,Arauco
4,325,Letters,Carta del 28 de septiembre de 1860 dirigida a Mauricio Barbosa,,,1860/09/28,Chile;Octava Región;Ángeles,1,"Barbosa, Mauricio",Arauco
4,326,Letters,Carta del 03 de octubre de 1860 de Vicente Villalón a su amigo Mauricio Barbosa,"Villalón, Vicente",,1860/10/03,Chile;Octava Región;Ángeles,1,"Barbosa, Mauricio",
4,327,Letters,Carta del 04 de octubre de 1680 de Cornelio Saavedra a su amigo Mauricio Barbosa,"Saavedra, Cornelio",,1680/10/04,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
4,328,Letters,Carta del 05 de octubre de 1860 de José Catrileo a Juan (Guesaman),"Catrileo, José",,1860/10/05,Chile;Octava Región;Nacimiento,1,"Guesamanqui, Juan",
4,329,Letters,Carta del 19 de octubre de 1860 de Juan Guesamanqui al Coronel Mauricio Barbosa,"Guesamanqui, Juan",,1860/10/19,Chile;Novena Región;Temuco,1,"Barbosa, Mauricio",
4,330,Notes,Nota Nº 170 de Vicente Villalón al Comandante de Armas de Arauco,"Villalón, Vicente",,1860/10/18,Chile;Octava Región;Ángeles,1,"Barbosa, Mauricio",Arauco
4,331,Letters,Carta del 18 de octubre de 1860 de Vicente Villalón a su amigo Mauricio Barbosa,"Villalón, Vicente",,1860/10/18,Chile;Octava Región;Ángeles,1,"Barbosa, Mauricio",
4,332,Letters,Carta del 21 de octubre de 1860 de Cornelio Saavedra a su amigo Mauricio Barbosa,"Saavedra, Cornelio",,1860/10/21,Chile;Quinta Región;Valparaíso,1,"Barbosa, Mauricio",
4,333,Notes,Nota Nº 171 de Vicente Villalón al Comandante de Armas de Arauco,"Villalón, Vicente",,1860/10/22,Chile;Octava Región;Ángeles,1,,Arauco
4,334,Notes,Nota de José María Carrillo al Coronel Jefe de Operaciones de las Costa,"Carrillo, José María",,1860/10/22,Chile;Octava Región;Yani,1,,
4,335,Letters,Carta del 22 de octubre de 1860 de Marino Cueto a su amigo Mauricio Barbosa,"Cueto, Marino",,1860/10/22,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",Arauco
4,336,Notes,Nota Nº 20 de Vicente Pérez Rosales al Comandante del Batallón del 5º de línea,"Pérez Rosales, Vicente",,1860/10/23,Chile;Octava Región;Concepción,1,,
